trainloss,valloss
0.36230132166934276,0.08263729706120032
0.08189531311505983,0.06480667578319135
0.0686181532617823,0.05645555561969582
0.060528271615464056,0.04932857784203803
0.05702473326246588,0.05055596981233416
0.05362769487591779,0.04771686662048197
0.047743781501278074,0.046876514688707314
0.04613780667130624,0.042493552333699204
0.04412119123359206,0.04150070787485068
0.0425547446125542,0.04134035915679609
0.041760588918770124,0.046711564068503394
0.040795604513124535,0.04046909739740957
0.03775958368909746,0.04058440645279076
0.03734844329687175,0.04344800625515815
0.03534447970589139,0.040629079774356425
0.03585062086330058,0.03809548483994336
0.03319957521962753,0.04401813751498524
0.032012603416117884,0.039516110565716356
0.031041781295821566,0.040181198483109117
0.029910523685284515,0.04945093805107694
0.02780654476807602,0.04156024921954108
0.02861354136747856,0.0436279082233131
0.029257898887835483,0.04212377937652397
0.027927366485085998,0.040121287174630337
0.027339907501662118,0.046012664782607224
0.02602121846057193,0.0399765979798245
0.02531721328805813,0.04025578268397695
0.024249037146762537,0.04340324465868971
0.023968722170395057,0.03838149936741385
0.0246635991276,0.04569807845174905
0.02276948631148739,0.04281014209510221
0.024365099622833914,0.046058293022864606
0.02346658565527541,0.03982243792303892
0.021106346776546235,0.04312671042731754
0.02047625537312915,0.043208070390392095
0.020682778467543364,0.04201706583565586
0.019131761891289824,0.04160625089645738
0.021408436493578275,0.05112095208562842
0.018612509856065825,0.04331191483577594
0.020516657479363366,0.04630872044995508
0.019049685114116064,0.04344605778355916
